group_id,group_size,split,image_name,file_path,file_size,cross_split,hash,keep(0 or 1)
1,2,test,Alternaria (12).jpg,data\raw\images\test\Alternaria (12).jpg,3182417,TRUE,1f78c1a480c29873402d53fd59b591702252477765d35a1b0e432da7e7bc59a2,0
1,2,train,Anthracnose (138).jpg,data\raw\images\train\Anthracnose (138).jpg,3182417,TRUE,1f78c1a480c29873402d53fd59b591702252477765d35a1b0e432da7e7bc59a2,1
2,2,test,Alternaria (3).jpg,data\raw\images\test\Alternaria (3).jpg,3324938,TRUE,a2e3febfa0ab9a69ddc51b8ecac9cf2d45be21dedaebb206281c508c2ea540a9,0
2,2,train,Anthracnose (129).jpg,data\raw\images\train\Anthracnose (129).jpg,3324938,TRUE,a2e3febfa0ab9a69ddc51b8ecac9cf2d45be21dedaebb206281c508c2ea540a9,1
3,2,test,Alternaria (31).jpg,data\raw\images\test\Alternaria (31).jpg,3203894,TRUE,3764dc00203f23d4cc260f7807a1f4cec7c0bdb361ebe45566fcc4c2d3be5104,0
3,2,train,Anthracnose (157).jpg,data\raw\images\train\Anthracnose (157).jpg,3203894,TRUE,3764dc00203f23d4cc260f7807a1f4cec7c0bdb361ebe45566fcc4c2d3be5104,1
4,2,test,Alternaria (45).jpg,data\raw\images\test\Alternaria (45).jpg,2971368,FALSE,0a0cde240f0d94d7904fabdfc17948a2a40e0a0beb7d5378da6513db657d6488,0
4,2,test,Anthracnose (171).jpg,data\raw\images\test\Anthracnose (171).jpg,2971368,FALSE,0a0cde240f0d94d7904fabdfc17948a2a40e0a0beb7d5378da6513db657d6488,1
5,2,test,Alternaria (52).jpg,data\raw\images\test\Alternaria (52).jpg,3850044,TRUE,f5fdf130c3a1bb01035d607485fdcbabbe04d1e21e5d0a2774010b3e53b953c0,0
5,2,train,Anthracnose (178).jpg,data\raw\images\train\Anthracnose (178).jpg,3850044,TRUE,f5fdf130c3a1bb01035d607485fdcbabbe04d1e21e5d0a2774010b3e53b953c0,1
6,2,test,Alternaria (55).jpg,data\raw\images\test\Alternaria (55).jpg,4427471,TRUE,d9679a0542b261b4f188375d0f031441887a0863f7764f723018c5e0e2e5ba1d,0
