split	image_name	label_file	line_no	class_id	class_name	x_center	y_center	width	height	issue_type	action	reviewer	note	class_label	duplicate	dataset_action	x_center_clean	y_center_clean	width_clean	height_clean
test	Alternaria (110)	Alternaria (110).txt	1	0	Alternaria	0.279825	0.378547	0.338071	0.495839	none	keep	¿±ø¯≈√		Disease	0	include	0.279825	0.378547	0.338071	0.495839
test	Alternaria (12)	Alternaria (12).txt	1	0	Alternaria	0.412942	0.703472	0.359204	0.537159	none	keep	¿±ø¯≈√		Disease	1	exclude				
test	Alternaria (145)	Alternaria (145).txt	1	0	Alternaria	0.447338	0.618924	0.668403	0.603299	none	keep	¿±ø¯≈√		Disease	0	include	0.447338	0.618924	0.668403	0.603299
test	Alternaria (145)	Alternaria (145).txt	2	0	Alternaria	0.759115	0.181424	0.481771	0.362847	none	keep	¿±ø¯≈√		Disease	0	include	0.759115	0.181424	0.481771	0.362847
test	Alternaria (145)	Alternaria (145).txt	3	0	Alternaria	0.789497	0.756293	0.421007	0.487413	none	keep	¿±ø¯≈√		Disease	0	include	0.789497	0.756293	0.421007	0.487413
test	Alternaria (145)	Alternaria (145).txt	4	0	Alternaria	0.107205	0.261719	0.21441	0.523438	none	keep	¿±ø¯≈√		Disease	0	include	0.107205	0.261719	0.21441	0.523438
test	Alternaria (145)	Alternaria (145).txt	5	0	Alternaria	0.32147	0.060981	0.387731	0.121962	none	keep	¿±ø¯≈√		Disease	0	include	0.32147	0.060981	0.387731	0.121962
test	Alternaria (148)	Alternaria (148).txt	1	0	Alternaria	0.503762	0.559245	0.925926	0.709635	none	keep	¿±ø¯≈√		Disease	0	include	0.503762	0.559245	0.925926	0.709635
test	Alternaria (148)	Alternaria (148).txt	2	0	Alternaria	0.815538	0.798611	0.368924	0.402778	none	keep	¿±ø¯≈√		Disease	0	include	0.815538	0.798611	0.368924	0.402778
test	Alternaria (148)	Alternaria (148).txt	3	0	Alternaria	0.147714	0.291016	0.295428	0.582031	none	keep	¿±ø¯≈√		Disease	0	include	0.147714	0.291016	0.295428	0.582031
test	Alternaria (148)	Alternaria (148).txt	4	0	Alternaria	0.669416	0.075087	0.661169	0.150174	none	keep	¿±ø¯≈√		Disease	0	include	0.669416	0.075087	0.661169	0.150174
test	Alternaria (154)	Alternaria (154).txt	1	0	Alternaria	0.545718	0.607639	0.795718	0.646701	none	keep	¿±ø¯≈√		Disease	0	include	0.545718	0.607639	0.795718	0.646701
test	Alternaria (154)	Alternaria (154).txt	2	0	Alternaria	0.29239	0.223524	0.58478	0.447049	none	keep	¿±ø¯≈√		Disease	0	include	0.29239	0.223524	0.58478	0.447049
test	Alternaria (154)	Alternaria (154).txt	3	0	Alternaria	0.111545	0.63151	0.22309	0.455729	none	keep	¿±ø¯≈√		Disease	0	include	0.111545	0.63151	0.22309	0.455729
test	Alternaria (154)	Alternaria (154).txt	4	0	Alternaria	0.726562	0.902561	0.503472	0.194878	none	keep	¿±ø¯≈√		Disease	0	include	0.726562	0.902561	0.503472	0.194878
test	Alternaria (154)	Alternaria (154).txt	5	0	Alternaria	0.906684	0.658637	0.186632	0.388455	none	keep	¿±ø¯≈√		Disease	0	include	0.906684	0.658637	0.186632	0.388455
test	Alternaria (158)	Alternaria (158).txt	1	0	Alternaria	0.479031	0.727609	0.854906	0.544781	ambiguous	drop	¿±ø¯≈√	¿˙»≠¡˙ µ•¿Ã≈Õ∑Œ ∫–ºÆ ∫“∞°	Disease	0	exclude				
test	Alternaria (179)	Alternaria (179).txt	1	0	Alternaria	0.488766	0.36432	0.653625	0.528078	none	keep	¿±ø¯≈√		Disease	0	include	0.488766	0.36432	0.653625	0.528078
test	Alternaria (183)	Alternaria (183).txt	1	0	Alternaria	0.531203	0.473258	0.937594	0.946516	ambiguous	drop	¿±ø¯≈√	¿˙»≠¡˙ µ•¿Ã≈Õ∑Œ ∫–ºÆ ∫“∞°	Disease	0	exclude				
test	Alternaria (186)	Alternaria (186).txt	1	0	Alternaria	0.445484	0.33943	0.554063	0.556234	none	keep	¿±ø¯≈√		Disease	0	include	0.445484	0.33943	0.554063	0.556234
test	Alternaria (201)	Alternaria (201).txt	1	0	Alternaria	0.477047	0.347008	0.954094	0.506453	ambiguous	drop	¿±ø¯≈√	¿˙»≠¡˙ µ•¿Ã≈Õ∑Œ ∫–ºÆ ∫“∞°	Disease	0	exclude				
test	Alternaria (216)	Alternaria (216).txt	1	0	Alternaria	0.403281	0.628055	0.53025	0.743891	none	keep	¿±ø¯≈√		Disease	0	include	0.403281	0.628055	0.53025	0.743891
test	Alternaria (220)	Alternaria (220).txt	1	0	Alternaria	0.672961	0.4325	0.654078	0.764	none	keep	¿±ø¯≈√		Disease	0	include	0.672961	0.4325	0.654078	0.764
test	Alternaria (227)	Alternaria (227).txt	1	0	Alternaria	0.659977	0.689734	0.680047	0.620531	none	keep	¿±ø¯≈√		Disease	0	include	0.659977	0.689734	0.680047	0.620531
test	Alternaria (230)	Alternaria (230).txt	1	0	Alternaria	0.691359	0.509328	0.617281	0.857062	none	keep	¿±ø¯≈√		Disease	0	include	0.691359	0.509328	0.617281	0.857062
test	Alternaria (3)	Alternaria (3).txt	1	0	Alternaria	0.454572	0.488281	0.706019	0.381944	none	keep	¿±ø¯≈√		Disease	1	exclude				
test	Alternaria (31)	Alternaria (31).txt	1	0	Alternaria	0.525662	0.517506	0.512695	0.77908	none	keep	¿±ø¯≈√		Disease	1	exclude				
test	Alternaria (45)	Alternaria (45).txt	1	0	Alternaria	0.47338	0.46224	0.894097	0.564236	none	keep	¿±ø¯≈√		Disease	1	exclude				
test	Alternaria (52)	Alternaria (52).txt	1	0	Alternaria	0.482835	0.46571	0.653947	0.654384	none	keep	¿±ø¯≈√		Disease	1	exclude				
test	Alternaria (55)	Alternaria (55).txt	1	0	Alternaria	0.354949	0.617616	0.591814	0.417546	none	keep	¿±ø¯≈√		Disease	1	exclude				
test	Alternaria (57)	Alternaria (57).txt	1	0	Alternaria	0.484776	0.561476	0.683041	0.540352	none	keep	¿±ø¯≈√		Disease	1	exclude				
test	Alternaria (63)	Alternaria (63).txt	1	0	Alternaria	0.411241	0.498264	0.642361	0.795718	none	keep	¿±ø¯≈√		Disease	1	exclude				
test	Alternaria (70)	Alternaria (70).txt	1	0	Alternaria	0.487196	0.472222	0.477431	0.720486	none	keep	¿±ø¯≈√		Disease	1	exclude				
test	Alternaria (73)	Alternaria (73).txt	1	0	Alternaria	0.46658	0.530093	0.605469	0.703125	none	keep	¿±ø¯≈√		Disease	1	exclude				
test	Alternaria (87)	Alternaria (87).txt	1	0	Alternaria	0.349392	0.424479	0.648872	0.775463	none	keep	¿±ø¯≈√		Disease	0	include	0.349392	0.424479	0.648872	0.775463
test	Alternaria (90)	Alternaria (90).txt	1	0	Alternaria	0.479842	0.393953	0.959685	0.483218	none	keep	¿±ø¯≈√		Disease	0	include	0.479842	0.393953	0.959685	0.483218
test	Alternaria (96)	Alternaria (96).txt	1	0	Alternaria	0.503472	0.54022	0.531684	0.891204	none	keep	¿±ø¯≈√		Disease	0	include	0.503472	0.54022	0.531684	0.891204
test	Anthracnose (114)	Anthracnose (114).txt	1	1	Anthracnose	0.481147	0.65531	0.514117	0.675243	none	keep	¿±ø¯≈√		Disease	0	include	0.481147	0.65531	0.514117	0.675243
test	Anthracnose (14)	Anthracnose (14).txt	1	1	Anthracnose	0.173542	0.337984	0.347083	0.601445	none	keep	¿±ø¯≈√		Disease	0	include	0.173542	0.337984	0.347083	0.601445
test	Anthracnose (14)	Anthracnose (14).txt	2	1	Anthracnose	0.505747	0.481887	0.587917	0.597754	none	keep	¿±ø¯≈√		Disease	0	include	0.505747	0.481887	0.587917	0.597754
test	Anthracnose (141)	Anthracnose (141).txt	1	1	Anthracnose	0.544846	0.283494	0.358377	0.547943	none	keep	¿±ø¯≈√		Disease	0	include	0.544846	0.283494	0.358377	0.547943
test	Anthracnose (148)	Anthracnose (148).txt	1	1	Anthracnose	0.496416	0.425553	0.452467	0.684468	none	keep	¿±ø¯≈√		Disease	0	include	0.496416	0.425553	0.452467	0.684468
test	Anthracnose (167)	Anthracnose (167).txt	1	1	Anthracnose	0.4258	0.410858	0.644494	0.621738	none	keep	¿±ø¯≈√		Disease	0	include	0.4258	0.410858	0.644494	0.621738
test	Anthracnose (171)	Anthracnose (171).txt	1	1	Anthracnose	0.470077	0.458826	0.920003	0.55901	none	keep	¿±ø¯≈√		Disease	0	include	0.470077	0.458826	0.920003	0.55901
test	Anthracnose (179)	Anthracnose (179).txt	1	1	Anthracnose	0.421005	0.49197	0.589453	0.776713	none	keep	¿±ø¯≈√		Disease	0	include	0.421005	0.49197	0.589453	0.776713
test	Anthracnose (18)	Anthracnose (18).txt	1	1	Anthracnose	0.342163	0.682984	0.457543	0.557166	none	keep	¿±ø¯≈√		Disease	0	include	0.342163	0.682984	0.457543	0.557166
test	Anthracnose (18)	Anthracnose (18).txt	2	1	Anthracnose	0.627512	0.477275	0.388663	0.437246	none	keep	¿±ø¯≈√		Disease	0	include	0.627512	0.477275	0.388663	0.437246
test	Anthracnose (185)	Anthracnose (185).txt	1	1	Anthracnose	0.436751	0.425616	0.873501	0.525803	none	keep	¿±ø¯≈√		Disease	0	include	0.436751	0.425616	0.873501	0.525803
test	Anthracnose (186)	Anthracnose (186).txt	1	1	Anthracnose	0.397483	0.501994	0.534106	0.996013	none	keep	¿±ø¯≈√		Disease	0	include	0.397483	0.501994	0.534106	0.996013
test	Anthracnose (20)	Anthracnose (20).txt	1	1	Anthracnose	0.158782	0.264186	0.317564	0.468611	none	keep	¿±ø¯≈√		Disease	0	include	0.158782	0.264186	0.317564	0.468611
test	Anthracnose (20)	Anthracnose (20).txt	2	1	Anthracnose	0.431949	0.726184	0.612514	0.547632	none	keep	¿±ø¯≈√		Disease	0	include	0.431949	0.726184	0.612514	0.547632
test	Anthracnose (239)	Anthracnose (239).txt	1	1	Anthracnose	0.195432	0.59231	0.18723	0.207545	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.193	0.5815	0.178	0.212
test	Anthracnose (239)	Anthracnose (239).txt	2	1	Anthracnose	0.700605	0.440846	0.095383	0.109513	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.6975	0.44	0.079	0.108
test	Anthracnose (239)	Anthracnose (239).txt	3	1	Anthracnose	0.736522	0.686809	0.058877	0.053873	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.7355	0.685	0.043	0.044
test	Anthracnose (251)	Anthracnose (251).txt	1	1	Anthracnose	0.072093	0.73856	0.05398	0.061385	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.073	0.74	0.036	0.048
test	Anthracnose (251)	Anthracnose (251).txt	2	1	Anthracnose	0.61192	0.527636	0.161947	0.188067	box_offset	fix	¿±ø¯≈√	»≠∏È »∏¿¸ πÆ¡¶	Disease	0	include	0.6165	0.5285	0.143	0.179
